"X.","Name","Type.1","Type.2","Total","HP","Attack","Defense","Sp..Atk","Sp..Def","Speed","Generation","Legendary"
64,"Kadabra","Psychic","1",400,40,35,30,120,70,105,1,"False"
65,"Alakazam","Psychic","1",500,55,50,45,135,95,120,1,"False"
65,"AlakazamMega Alakazam","Psychic","1",590,55,50,65,175,95,150,1,"False"
66,"Machop","Fighting","1",305,70,80,50,35,35,35,1,"False"
67,"Machoke","Fighting","1",405,80,100,70,50,60,45,1,"False"
68,"Machamp","Fighting","1",505,90,130,80,65,85,55,1,"False"
69,"Bellsprout","Grass","15",300,50,75,35,70,30,40,1,"False"
70,"Weepinbell","Grass","15",390,65,90,50,85,45,55,1,"False"
71,"Victreebel","Grass","15",490,80,105,65,100,70,70,1,"False"
72,"Tentacool","Water","15",335,40,40,35,50,100,70,1,"False"
73,"Tentacruel","Water","15",515,80,70,65,80,120,100,1,"False"
74,"Geodude","Rock","12",300,40,80,100,30,30,20,1,"False"
75,"Graveler","Rock","12",390,55,95,115,45,45,35,1,"False"
76,"Golem","Rock","12",495,80,120,130,55,65,45,1,"False"
77,"Ponyta","Fire","1",410,50,85,55,65,65,90,1,"False"
78,"Rapidash","Fire","1",500,65,100,70,80,80,105,1,"False"
79,"Slowpoke","Water","16",315,90,65,65,40,40,15,1,"False"
80,"Slowbro","Water","16",490,95,75,110,100,80,30,1,"False"
80,"SlowbroMega Slowbro","Water","16",590,95,75,180,130,80,30,1,"False"
81,"Magnemite","Electric","18",325,25,35,70,95,55,45,1,"False"
82,"Magneton","Electric","18",465,50,60,95,120,70,70,1,"False"
83,"Farfetch'd","Normal","9",352,52,65,55,58,62,60,1,"False"
84,"Doduo","Normal","9",310,35,85,45,35,35,75,1,"False"
85,"Dodrio","Normal","9",460,60,110,70,60,60,100,1,"False"
86,"Seel","Water","1",325,65,45,55,45,70,45,1,"False"
87,"Dewgong","Water","13",475,90,70,80,70,95,70,1,"False"
88,"Grimer","Poison","1",325,80,80,50,40,50,25,1,"False"
89,"Muk","Poison","1",500,105,105,75,65,100,50,1,"False"
90,"Shellder","Water","1",305,30,65,100,45,25,40,1,"False"
91,"Cloyster","Water","13",525,50,95,180,85,45,70,1,"False"
92,"Gastly","Ghost","15",310,30,35,30,100,35,80,1,"False"
93,"Haunter","Ghost","15",405,45,50,45,115,55,95,1,"False"
94,"Gengar","Ghost","15",500,60,65,60,130,75,110,1,"False"
94,"GengarMega Gengar","Ghost","15",600,60,65,80,170,95,130,1,"False"
95,"Onix","Rock","12",385,35,45,160,30,45,70,1,"False"
96,"Drowzee","Psychic","1",328,60,48,45,43,90,42,1,"False"
97,"Hypno","Psychic","1",483,85,73,70,73,115,67,1,"False"
98,"Krabby","Water","1",325,30,105,90,25,25,50,1,"False"
99,"Kingler","Water","1",475,55,130,115,50,50,75,1,"False"
100,"Voltorb","Electric","1",330,40,30,50,55,55,100,1,"False"
101,"Electrode","Electric","1",480,60,50,70,80,80,140,1,"False"
102,"Exeggcute","Grass","16",325,60,40,80,60,45,40,1,"False"
103,"Exeggutor","Grass","16",520,95,95,85,125,65,55,1,"False"
104,"Cubone","Ground","1",320,50,50,95,40,50,35,1,"False"
105,"Marowak","Ground","1",425,60,80,110,50,80,45,1,"False"
106,"Hitmonlee","Fighting","1",455,50,120,53,35,110,87,1,"False"
107,"Hitmonchan","Fighting","1",455,50,105,79,35,110,76,1,"False"
108,"Lickitung","Normal","1",385,90,55,75,60,75,30,1,"False"
109,"Koffing","Poison","1",340,40,65,95,60,45,35,1,"False"
110,"Weezing","Poison","1",490,65,90,120,85,70,60,1,"False"
111,"Rhyhorn","Ground","17",345,80,85,95,30,30,25,1,"False"
112,"Rhydon","Ground","17",485,105,130,120,45,45,40,1,"False"
113,"Chansey","Normal","1",450,250,5,5,35,105,50,1,"False"
114,"Tangela","Grass","1",435,65,55,115,100,40,60,1,"False"
115,"Kangaskhan","Normal","1",490,105,95,80,40,80,90,1,"False"
115,"KangaskhanMega Kangaskhan","Normal","1",590,105,125,100,60,100,100,1,"False"
116,"Horsea","Water","1",295,30,40,70,70,25,60,1,"False"
117,"Seadra","Water","1",440,55,65,95,95,45,85,1,"False"
118,"Goldeen","Water","1",320,45,67,60,35,50,63,1,"False"
119,"Seaking","Water","1",450,80,92,65,65,80,68,1,"False"
120,"Staryu","Water","1",340,30,45,55,70,55,85,1,"False"
121,"Starmie","Water","16",520,60,75,85,100,85,115,1,"False"
122,"Mr. Mime","Psychic","6",460,40,45,65,100,120,90,1,"False"
123,"Scyther","Bug","9",500,70,110,80,55,80,105,1,"False"
124,"Jynx","Ice","16",455,65,50,35,115,95,95,1,"False"
125,"Electabuzz","Electric","1",490,65,83,57,95,85,105,1,"False"
126,"Magmar","Fire","1",495,65,95,57,100,85,93,1,"False"
127,"Pinsir","Bug","Flying",500,65,125,100,55,70,85,1,"False"
127,"PinsirMega Pinsir","Bug","9",600,65,155,120,65,90,105,1,"False"
128,"Tauros","Normal","1",490,75,100,95,40,70,110,1,"False"
129,"Magikarp","Water","1",200,20,10,55,15,20,80,1,"False"
130,"Gyarados","Water","9",540,95,125,79,60,100,81,1,"False"
130,"GyaradosMega Gyarados","Water","3",640,95,155,109,70,130,81,1,"False"
131,"Lapras","Water","13",535,130,85,80,85,95,60,1,"False"
132,"Ditto","Normal","1",288,48,48,48,48,48,48,1,"False"
133,"Eevee","Normal","1",325,55,55,50,45,65,55,1,"False"
134,"Vaporeon","Water","1",525,130,65,60,110,95,65,1,"False"
135,"Jolteon","Electric","1",525,65,65,60,110,95,130,1,"False"
136,"Flareon","Fire","1",525,65,130,60,95,110,65,1,"False"
137,"Porygon","Normal","1",395,65,60,70,85,75,40,1,"False"
138,"Omanyte","Rock","19",355,35,40,100,90,55,35,1,"False"
139,"Omastar","Rock","19",495,70,60,125,115,70,55,1,"False"
140,"Kabuto","Rock","19",355,30,80,90,55,45,55,1,"False"
141,"Kabutops","Rock","19",495,60,115,105,65,70,80,1,"False"
142,"Aerodactyl","Rock","9",515,80,105,65,60,75,130,1,"False"
142,"AerodactylMega Aerodactyl","Rock","9",615,80,135,85,70,95,150,1,"False"
143,"Snorlax","Normal","1",540,160,110,65,65,110,30,1,"False"
144,"Articuno","Ice","9",580,90,85,100,95,125,85,1,"True"
145,"Zapdos","Electric","9",580,90,90,85,125,90,100,1,"True"
146,"Moltres","Fire","9",580,90,100,90,125,85,90,1,"True"
147,"Dratini","Dragon","1",300,41,64,45,50,50,50,1,"False"
148,"Dragonair","Dragon","1",420,61,84,65,70,70,70,1,"False"
149,"Dragonite","Dragon","9",600,91,134,95,100,100,80,1,"False"
150,"Mewtwo","Psychic","1",680,106,110,90,154,90,130,1,"True"
150,"MewtwoMega Mewtwo X","Psychic","7",780,106,190,100,154,100,130,1,"True"
150,"MewtwoMega Mewtwo Y","Psychic","1",780,106,150,70,194,120,140,1,"True"
151,"Mew","Psychic","1",600,100,100,100,100,100,100,1,"False"
152,"Chikorita","Grass","1",318,45,49,65,49,65,45,2,"False"
153,"Bayleef","Grass","1",405,60,62,80,63,80,60,2,"False"
154,"Meganium","Grass","1",525,80,82,100,83,100,80,2,"False"
155,"Cyndaquil","Fire","1",309,39,52,43,60,50,65,2,"False"
156,"Quilava","Fire","1",405,58,64,58,80,65,80,2,"False"
157,"Typhlosion","Fire","1",534,78,84,78,109,85,100,2,"False"
158,"Totodile","Water","1",314,50,65,64,44,48,43,2,"False"
159,"Croconaw","Water","1",405,65,80,80,59,63,58,2,"False"
160,"Feraligatr","Water","1",530,85,105,100,79,83,78,2,"False"
161,"Sentret","Normal","1",215,35,46,34,35,45,20,2,"False"
162,"Furret","Normal","1",415,85,76,64,45,55,90,2,"False"
163,"Hoothoot","Normal","9",262,60,30,30,36,56,50,2,"False"
164,"Noctowl","Normal","9",442,100,50,50,76,96,70,2,"False"
165,"Ledyba","Bug","9",265,40,20,30,40,80,55,2,"False"
166,"Ledian","Bug","9",390,55,35,50,55,110,85,2,"False"
167,"Spinarak","Bug","15",250,40,60,40,40,40,30,2,"False"
168,"Ariados","Bug","15",390,70,90,70,60,60,40,2,"False"
169,"Crobat","Poison","9",535,85,90,80,70,80,130,2,"False"
170,"Chinchou","Water","5",330,75,38,38,56,56,67,2,"False"
171,"Lanturn","Water","5",460,125,58,58,76,76,67,2,"False"
172,"Pichu","Electric","1",205,20,40,15,35,35,60,2,"False"
173,"Cleffa","Fairy","1",218,50,25,28,45,55,15,2,"False"
174,"Igglybuff","Normal","6",210,90,30,15,40,20,15,2,"False"
175,"Togepi","Fairy","1",245,35,20,65,40,65,20,2,"False"
176,"Togetic","Fairy","9",405,55,40,85,80,105,40,2,"False"
177,"Natu","Psychic","9",320,40,50,45,70,45,70,2,"False"
178,"Xatu","Psychic","9",470,65,75,70,95,70,95,2,"False"
179,"Mareep","Electric","1",280,55,40,40,65,45,35,2,"False"
180,"Flaaffy","Electric","1",365,70,55,55,80,60,45,2,"False"
181,"Ampharos","Electric","1",510,90,75,85,115,90,55,2,"False"
181,"AmpharosMega Ampharos","Electric","4",610,90,95,105,165,110,45,2,"False"
182,"Bellossom","Grass","1",490,75,80,95,90,100,50,2,"False"
183,"Marill","Water","6",250,70,20,50,20,50,40,2,"False"
184,"Azumarill","Water","6",420,100,50,80,60,80,50,2,"False"
185,"Sudowoodo","Rock","1",410,70,100,115,30,65,30,2,"False"
186,"Politoed","Water","1",500,90,75,75,90,100,70,2,"False"
187,"Hoppip","Grass","9",250,35,35,40,35,55,50,2,"False"
188,"Skiploom","Grass","9",340,55,45,50,45,65,80,2,"False"
189,"Jumpluff","Grass","9",460,75,55,70,55,95,110,2,"False"
190,"Aipom","Normal","1",360,55,70,55,40,55,85,2,"False"
191,"Sunkern","Grass","1",180,30,30,30,30,30,30,2,"False"
192,"Sunflora","Grass","1",425,75,75,55,105,85,30,2,"False"
193,"Yanma","Bug","9",390,65,65,45,75,45,95,2,"False"
194,"Wooper","Water","12",210,55,45,45,25,25,15,2,"False"
195,"Quagsire","Water","12",430,95,85,85,65,65,35,2,"False"
196,"Espeon","Psychic","1",525,65,65,60,130,95,110,2,"False"
197,"Umbreon","Dark","1",525,95,65,110,60,130,65,2,"False"
198,"Murkrow","Dark","9",405,60,85,42,85,42,91,2,"False"
199,"Slowking","Water","16",490,95,75,80,100,110,30,2,"False"
200,"Misdreavus","Ghost","1",435,60,60,60,85,85,85,2,"False"
201,"Unown","Psychic","1",336,48,72,48,72,48,48,2,"False"
202,"Wobbuffet","Psychic","1",405,190,33,58,33,58,33,2,"False"
203,"Girafarig","Normal","16",455,70,80,65,90,65,85,2,"False"
204,"Pineco","Bug","Flying",290,50,65,90,35,35,15,2,"False"
205,"Forretress","Bug","18",465,75,90,140,60,60,40,2,"False"
206,"Dunsparce","Normal","1",415,100,70,70,65,65,45,2,"False"
207,"Gligar","Ground","9",430,65,75,105,35,65,85,2,"False"
208,"Steelix","Steel","12",510,75,85,200,55,65,30,2,"False"
208,"SteelixMega Steelix","Steel","12",610,75,125,230,55,95,30,2,"False"
209,"Snubbull","Fairy","1",300,60,80,50,40,40,30,2,"False"
210,"Granbull","Fairy","1",450,90,120,75,60,60,45,2,"False"
211,"Qwilfish","Water","15",430,65,95,75,55,55,85,2,"False"
212,"Scizor","Bug","18",500,70,130,100,55,80,65,2,"False"
212,"ScizorMega Scizor","Bug","18",600,70,150,140,65,100,75,2,"False"
213,"Shuckle","Bug","17",505,20,10,230,10,230,5,2,"False"
214,"Heracross","Bug","7",500,80,125,75,40,95,85,2,"False"
214,"HeracrossMega Heracross","Bug","7",600,80,185,115,40,105,75,2,"False"
215,"Sneasel","Dark","13",430,55,95,55,35,75,115,2,"False"
216,"Teddiursa","Normal","1",330,60,80,50,50,50,40,2,"False"
217,"Ursaring","Normal","1",500,90,130,75,75,75,55,2,"False"
218,"Slugma","Fire","1",250,40,40,40,70,40,20,2,"False"
219,"Magcargo","Fire","17",410,50,50,120,80,80,30,2,"False"
220,"Swinub","Ice","12",250,50,50,40,30,30,50,2,"False"
221,"Piloswine","Ice","12",450,100,100,80,60,60,50,2,"False"
222,"Corsola","Water","17",380,55,55,85,65,85,35,2,"False"
223,"Remoraid","Water","1",300,35,65,35,65,35,65,2,"False"
224,"Octillery","Water","1",480,75,105,75,105,75,45,2,"False"
225,"Delibird","Ice","9",330,45,55,45,65,45,75,2,"False"
226,"Mantine","Water","9",465,65,40,70,80,140,70,2,"False"
227,"Skarmory","Steel","9",465,65,80,140,40,70,70,2,"False"
228,"Houndour","Dark","8",330,45,60,30,80,50,65,2,"False"
229,"Houndoom","Dark","8",500,75,90,50,110,80,95,2,"False"
229,"HoundoomMega Houndoom","Dark","8",600,75,90,90,140,90,115,2,"False"
230,"Kingdra","Water","4",540,75,95,95,95,95,85,2,"False"
231,"Phanpy","Ground","1",330,90,60,60,40,40,40,2,"False"
232,"Donphan","Ground","1",500,90,120,120,60,60,50,2,"False"
233,"Porygon2","Normal","1",515,85,80,90,105,95,60,2,"False"
234,"Stantler","Normal","1",465,73,95,62,85,65,85,2,"False"
235,"Smeargle","Normal","1",250,55,20,35,20,45,75,2,"False"
236,"Tyrogue","Fighting","1",210,35,35,35,35,35,35,2,"False"
237,"Hitmontop","Fighting","1",455,50,95,95,35,110,70,2,"False"
238,"Smoochum","Ice","16",305,45,30,15,85,65,65,2,"False"
239,"Elekid","Electric","1",360,45,63,37,65,55,95,2,"False"
240,"Magby","Fire","1",365,45,75,37,70,55,83,2,"False"
241,"Miltank","Normal","1",490,95,80,105,40,70,100,2,"False"
242,"Blissey","Normal","1",540,255,10,10,75,135,55,2,"False"
243,"Raikou","Electric","1",580,90,85,75,115,100,115,2,"True"
244,"Entei","Fire","1",580,115,115,85,90,75,100,2,"True"
245,"Suicune","Water","1",580,100,75,115,90,115,85,2,"True"
246,"Larvitar","Rock","12",300,50,64,50,45,50,41,2,"False"
247,"Pupitar","Rock","12",410,70,84,70,65,70,51,2,"False"
248,"Tyranitar","Rock","3",600,100,134,110,95,100,61,2,"False"
248,"TyranitarMega Tyranitar","Rock","3",700,100,164,150,95,120,71,2,"False"
249,"Lugia","Psychic","9",680,106,90,130,90,154,110,2,"True"
250,"Ho-oh","Fire","9",680,106,130,90,110,154,90,2,"True"
251,"Celebi","Psychic","11",600,100,100,100,100,100,100,2,"False"
252,"Treecko","Grass","1",310,40,45,35,65,55,70,3,"False"
253,"Grovyle","Grass","1",405,50,65,45,85,65,95,3,"False"
254,"Sceptile","Grass","1",530,70,85,65,105,85,120,3,"False"
254,"SceptileMega Sceptile","Grass","4",630,70,110,75,145,85,145,3,"False"
255,"Torchic","Fire","1",310,45,60,40,70,50,45,3,"False"
256,"Combusken","Fire","7",405,60,85,60,85,60,55,3,"False"
257,"Blaziken","Fire","7",530,80,120,70,110,70,80,3,"False"
257,"BlazikenMega Blaziken","Fire","7",630,80,160,80,130,80,100,3,"False"
258,"Mudkip","Water","1",310,50,70,50,50,50,40,3,"False"
259,"Marshtomp","Water","12",405,70,85,70,60,70,50,3,"False"
260,"Swampert","Water","12",535,100,110,90,85,90,60,3,"False"
260,"SwampertMega Swampert","Water","12",635,100,150,110,95,110,70,3,"False"
261,"Poochyena","Dark","1",220,35,55,35,30,30,35,3,"False"
262,"Mightyena","Dark","1",420,70,90,70,60,60,70,3,"False"
263,"Zigzagoon","Normal","1",240,38,30,41,30,41,60,3,"False"
264,"Linoone","Normal","1",420,78,70,61,50,61,100,3,"False"
265,"Wurmple","Bug","Flying",195,45,45,35,20,30,20,3,"False"
266,"Silcoon","Bug","Flying",205,50,35,55,25,25,15,3,"False"
267,"Beautifly","Bug","9",395,60,70,50,100,50,65,3,"False"
268,"Cascoon","Bug","Flying",205,50,35,55,25,25,15,3,"False"
269,"Dustox","Bug","15",385,60,50,70,50,90,65,3,"False"
270,"Lotad","Water","11",220,40,30,30,40,50,30,3,"False"
271,"Lombre","Water","11",340,60,50,50,60,70,50,3,"False"
272,"Ludicolo","Water","11",480,80,70,70,90,100,70,3,"False"
273,"Seedot","Grass","1",220,40,40,50,30,30,30,3,"False"
274,"Nuzleaf","Grass","3",340,70,70,40,60,40,60,3,"False"
275,"Shiftry","Grass","3",480,90,100,60,90,60,80,3,"False"
276,"Taillow","Normal","9",270,40,55,30,30,30,85,3,"False"
277,"Swellow","Normal","9",430,60,85,60,50,50,125,3,"False"
278,"Wingull","Water","9",270,40,30,30,55,30,85,3,"False"
279,"Pelipper","Water","9",430,60,50,100,85,70,65,3,"False"
280,"Ralts","Psychic","6",198,28,25,25,45,35,40,3,"False"
281,"Kirlia","Psychic","6",278,38,35,35,65,55,50,3,"False"
282,"Gardevoir","Psychic","6",518,68,65,65,125,115,80,3,"False"
282,"GardevoirMega Gardevoir","Psychic","6",618,68,85,65,165,135,100,3,"False"
283,"Surskit","Bug","19",269,40,30,32,50,52,65,3,"False"
284,"Masquerain","Bug","9",414,70,60,62,80,82,60,3,"False"
285,"Shroomish","Grass","1",295,60,40,60,40,60,35,3,"False"
286,"Breloom","Grass","7",460,60,130,80,60,60,70,3,"False"
287,"Slakoth","Normal","1",280,60,60,60,35,35,30,3,"False"
288,"Vigoroth","Normal","1",440,80,80,80,55,55,90,3,"False"
289,"Slaking","Normal","1",670,150,160,100,95,65,100,3,"False"
290,"Nincada","Bug","12",266,31,45,90,30,30,40,3,"False"
291,"Ninjask","Bug","9",456,61,90,45,50,50,160,3,"False"
292,"Shedinja","Bug","10",236,1,90,45,30,30,40,3,"False"
293,"Whismur","Normal","1",240,64,51,23,51,23,28,3,"False"
294,"Loudred","Normal","1",360,84,71,43,71,43,48,3,"False"
295,"Exploud","Normal","1",490,104,91,63,91,73,68,3,"False"
296,"Makuhita","Fighting","1",237,72,60,30,20,30,25,3,"False"
297,"Hariyama","Fighting","1",474,144,120,60,40,60,50,3,"False"
298,"Azurill","Normal","6",190,50,20,40,20,40,20,3,"False"
299,"Nosepass","Rock","1",375,30,45,135,45,90,30,3,"False"
300,"Skitty","Normal","1",260,50,45,45,35,35,50,3,"False"
301,"Delcatty","Normal","1",380,70,65,65,55,55,70,3,"False"
302,"Sableye","Dark","10",380,50,75,75,65,65,50,3,"False"
302,"SableyeMega Sableye","Dark","10",480,50,85,125,85,115,20,3,"False"
303,"Mawile","Steel","6",380,50,85,85,55,55,50,3,"False"
303,"MawileMega Mawile","Steel","6",480,50,105,125,55,95,50,3,"False"
304,"Aron","Steel","17",330,50,70,100,40,40,30,3,"False"
305,"Lairon","Steel","17",430,60,90,140,50,50,40,3,"False"
306,"Aggron","Steel","17",530,70,110,180,60,60,50,3,"False"
306,"AggronMega Aggron","Steel","1",630,70,140,230,60,80,50,3,"False"
307,"Meditite","Fighting","16",280,30,40,55,40,55,60,3,"False"
308,"Medicham","Fighting","16",410,60,60,75,60,75,80,3,"False"
308,"MedichamMega Medicham","Fighting","16",510,60,100,85,80,85,100,3,"False"
309,"Electrike","Electric","1",295,40,45,40,65,40,65,3,"False"
310,"Manectric","Electric","1",475,70,75,60,105,60,105,3,"False"
310,"ManectricMega Manectric","Electric","1",575,70,75,80,135,80,135,3,"False"
311,"Plusle","Electric","1",405,60,50,40,85,75,95,3,"False"
312,"Minun","Electric","1",405,60,40,50,75,85,95,3,"False"
313,"Volbeat","Bug","Flying",400,65,73,55,47,75,85,3,"False"
314,"Illumise","Bug","Flying",400,65,47,55,73,75,85,3,"False"
315,"Roselia","Grass","15",400,50,60,45,100,80,65,3,"False"
316,"Gulpin","Poison","1",302,70,43,53,43,53,40,3,"False"
317,"Swalot","Poison","1",467,100,73,83,73,83,55,3,"False"
318,"Carvanha","Water","3",305,45,90,20,65,20,65,3,"False"
319,"Sharpedo","Water","3",460,70,120,40,95,40,95,3,"False"
319,"SharpedoMega Sharpedo","Water","3",560,70,140,70,110,65,105,3,"False"
320,"Wailmer","Water","1",400,130,70,35,70,35,60,3,"False"
321,"Wailord","Water","1",500,170,90,45,90,45,60,3,"False"
322,"Numel","Fire","12",305,60,60,40,65,45,35,3,"False"
323,"Camerupt","Fire","12",460,70,100,70,105,75,40,3,"False"
323,"CameruptMega Camerupt","Fire","12",560,70,120,100,145,105,20,3,"False"
324,"Torkoal","Fire","1",470,70,85,140,85,70,20,3,"False"
325,"Spoink","Psychic","1",330,60,25,35,70,80,60,3,"False"
326,"Grumpig","Psychic","1",470,80,45,65,90,110,80,3,"False"
327,"Spinda","Normal","1",360,60,60,60,60,60,60,3,"False"
328,"Trapinch","Ground","1",290,45,100,45,45,45,10,3,"False"
329,"Vibrava","Ground","4",340,50,70,50,50,50,70,3,"False"
330,"Flygon","Ground","4",520,80,100,80,80,80,100,3,"False"
331,"Cacnea","Grass","1",335,50,85,40,85,40,35,3,"False"
332,"Cacturne","Grass","3",475,70,115,60,115,60,55,3,"False"
333,"Swablu","Normal","9",310,45,40,60,40,75,50,3,"False"
334,"Altaria","Dragon","9",490,75,70,90,70,105,80,3,"False"
334,"AltariaMega Altaria","Dragon","6",590,75,110,110,110,105,80,3,"False"
335,"Zangoose","Normal","1",458,73,115,60,60,60,90,3,"False"
336,"Seviper","Poison","1",458,73,100,60,100,60,65,3,"False"
337,"Lunatone","Rock","16",440,70,55,65,95,85,70,3,"False"
338,"Solrock","Rock","16",440,70,95,85,55,65,70,3,"False"
339,"Barboach","Water","12",288,50,48,43,46,41,60,3,"False"
340,"Whiscash","Water","12",468,110,78,73,76,71,60,3,"False"
341,"Corphish","Water","1",308,43,80,65,50,35,35,3,"False"
342,"Crawdaunt","Water","3",468,63,120,85,90,55,55,3,"False"
343,"Baltoy","Ground","16",300,40,40,55,40,70,55,3,"False"
344,"Claydol","Ground","16",500,60,70,105,70,120,75,3,"False"
345,"Lileep","Rock","11",355,66,41,77,61,87,23,3,"False"
346,"Cradily","Rock","11",495,86,81,97,81,107,43,3,"False"
347,"Anorith","Rock","2",355,45,95,50,40,50,75,3,"False"
348,"Armaldo","Rock","2",495,75,125,100,70,80,45,3,"False"
349,"Feebas","Water","1",200,20,15,20,10,55,80,3,"False"
350,"Milotic","Water","1",540,95,60,79,100,125,81,3,"False"
351,"Castform","Normal","1",420,70,70,70,70,70,70,3,"False"
352,"Kecleon","Normal","1",440,60,90,70,60,120,40,3,"False"
353,"Shuppet","Ghost","1",295,44,75,35,63,33,45,3,"False"
354,"Banette","Ghost","1",455,64,115,65,83,63,65,3,"False"
354,"BanetteMega Banette","Ghost","1",555,64,165,75,93,83,75,3,"False"
355,"Duskull","Ghost","1",295,20,40,90,30,90,25,3,"False"
356,"Dusclops","Ghost","1",455,40,70,130,60,130,25,3,"False"
357,"Tropius","Grass","9",460,99,68,83,72,87,51,3,"False"
358,"Chimecho","Psychic","1",425,65,50,70,95,80,65,3,"False"
359,"Absol","Dark","1",465,65,130,60,75,60,75,3,"False"
